politc_id,content,name
9456,Taiwan Be Taiwan台灣是台灣，台灣子孫源遠流傳,紀文清
10948,T-PASS 通勤月票常態化。（「督促未來5年6000億元建設」子項目）,陳俊宇
11265,PM2.5 超標縣市民眾，放寬低劑量電腦斷層掃瞄(LDCT)免費標準。,馬文君
9744,NCC轉型正義，保障收視平權,徐巧芯
9799,NCC 打掉重練，終結目前政媒勾結的不當現象,賴士葆
10777,AI 智慧產業轉型，持續推動雙技農業,劉建國
10969,觀光｜創造亮點：經濟鏈結留住人流與錢流,黃建賓
10971,觀光｜創造亮點：推動一鄉鎮一亮點，促進城鄉觀光交流及消費,黃建賓
10970,觀光｜創造亮點：爭取中央持續補助臺東大型活動舉辦。,黃建賓
11035,觀光、文創培育基地在中西區：鼓勵年青人、文創工作者參與地方創生，打造深具獨特魅力的台南在地人文風情,林俊憲
10795,讓雲林被公平對待：爭取國土計畫對農業縣公平補償，修正財政收支劃分法,邱良閱
10796,讓勞工不再低薪資：提高基本薪資至33K同步减輕企業賦稅，本勞與外籍移工薪資脫勾,邱良閱
11670,讓部落會議主席有薪資、部落會議有業務費。,伍麗華 Saidhai．Tahovecahe
11697,讓原民公費師培生優先回鄉任敎。,伍麗華 Saidhai．Tahovecahe
10797,讓重刑重罰防詐騙：加重詐騙犯罰則不得假釋,邱良閱
10787,讓子孫回雲林就業：積極協助開闢斗六、斗南、古坑，產業園區，並爭取台積電來雲林,邱良閱
11024,體恤公教警消，甄補人員編制到位，增加消防預算，更新消防裝備。,林宜瑾
11018,體育地位再提升，推動「體育暨運動發展部」升格，推廣全民運動，健康台灣。,林宜瑾
10055,顯智是第一名的交通改革立季，推動交通零死亡願景與立法，已為新竹爭取超過兩億預算，改善危險路合及通學步道。,邱顯智
11204,變電所室內化完工爭取27億，化身爲綠色廊道。,吳琪銘
10280,聽力篩檢納入65歲以上每年成人健康檢查項目,莊競程
10507,權勢有小金庫? 貧民銀行與地下錢莊 (不公不義?),黃一哲
9854,權力輪替常態化,曹爾凱
11340,鶯歌陶博館升級,蘇巧慧
11346,鶯歌國小歷史校舍資產活化,蘇巧慧
11341,鶯歌老街翻新,蘇巧慧
9872,顧居住！永久屋與社會住宅結合,胡黃廣文
9873,顧生計！放寬在地農產品加工廠限制,胡黃廣文
9874,顧永續！開發地熱永續能源 結合觀光推廣,胡黃廣文
9875,顧文化！編撰全國原民母語字典 深化文化教育,胡黃廣文
10999,闢建特色公園，強化設施品質，讓公園變樂園，大人小孩一齊享受天倫之樂。,林宜瑾
11215,"續推學校地下停車場，改善都市停車 問題，推動公館溝改善計畫，打造兩岸櫻花親水廊道。闢建零碳公園，創造減碳綠化生活。
",吳琪銘
11430,續推動機捷A23、綠捷延伸中壢。,魯明哲
9378,續推家戶污水接管補助,江肇國
9680,續推社會住宅，爭取學生宿舍、青年租屋及房貸補貼,江肇國
10313,續推自來水管線汰換、電桿下地、充實社區運動設施,張廖萬堅
10324,續推大肚山森林復育、筏子溪全段整治、實現2050淨零排碳,張廖萬堅
11000,續推十八歲公民權，鼓勵青年參與國家未來。,林宜瑾
9994,續推18歲公民權，擴大青年參與機會,張秀華
11115,續建太保牛稠溪、水上赤蘭溪、八掌溪堤防增設與加高,蔡易餘
9737,續爭取學校設施改善，給孩子在安全舒適環境中學習成長,蔡其昌
11768,續行改善新莊居住環境，持續優化水環境，解決廢水排放問題，爭取增加綠地及休憩空間。,吳秉叡
9801,響應 AI 崛起，推動 AI 教育全齡化,賴士葆
11112,警察、消防合理編制員額,蔡易餘
